 ,Area,X,Y,Slice
59,1191.928,4431.753,149.051,1
60,371.473,364.862,144.323,1
61,753.790,3193.978,150.340,1
62,375.891,198.897,148.660,1
63,1240.119,2349.373,156.092,1
64,538.134,12.600,166.103,1
65,389.545,853.148,166.150,1
66,661.825,4536.803,171.781,1
67,3639.235,4741.842,193.067,1
68,1621.230,5082.109,178.167,1
69,495.967,304.353,172.954,1
70,469.060,788.327,174.406,1
71,500.385,1610.413,175.609,1
72,414.444,1761.352,173.048,1
73,1446.939,3946.776,189.255,1
74,942.940,2761.413,184.435,1
75,2213.982,3321.577,200.629,1
76,500.385,940.525,183.769,1
77,373.883,335.682,183.903,1
78,420.869,2325.971,183.731,1
79,1439.309,3238.694,199.664,1
80,4105.886,5807.316,215.097,1
81,863.023,3161.845,193.485,1
82,972.658,5365.783,197.868,1
83,1059.402,3114.574,203.743,1
84,413.239,638.243,203.178,1
85,1752.551,5242.846,214.277,1
86,780.697,4314.228,208.370,1
87,426.893,1005.698,209.252,1
88,1187.109,2141.617,218.574,1
89,673.471,2082.253,213.947,1
90,635.722,2921.220,213.107,1
91,761.420,4512.693,222.841,1
92,490.345,682.570,230.386,1
93,1902.345,5080.590,251.083,1
94,59.034,763.489,233.377,1
95,1032.495,2928.378,251.349,1
96,462.635,4941.839,244.191,1
97,215.254,1502.180,245.503,1
98,1474.649,6059.511,259.190,1
99,775.877,1674.976,264.812,1
100,771.058,5643.937,272.074,1
101,64.255,788.577,260.567,1
102,1259.395,4639.936,283.878,1
103,2052.943,5974.378,288.693,1
104,1471.035,5350.235,286.591,1
105,1431.277,1429.999,293.052,1
106,440.547,802.992,286.701,1
107,495.164,1867.464,293.742,1
108,210.033,410.635,290.324,1
109,657.408,1101.912,295.408,1
110,324.085,635.753,293.350,1
111,1197.550,3404.541,306.406,1
112,552.592,3186.432,303.624,1
113,670.259,3472.026,304.164,1
114,552.592,739.211,309.206,1
115,685.117,1727.506,308.963,1
116,1571.433,3297.982,326.421,1
117,1651.350,2596.252,329.224,1
118,1193.936,4724.885,323.485,1
119,1021.652,5049.317,324.401,1
120,777.484,4438.387,321.614,1
121,4722.331,5203.312,366.727,1
122,348.583,986.819,324.506,1
123,567.451,2478.340,325.527,1
124,505.204,2931.458,327.309,1
125,1233.693,5823.828,335.868,1
126,687.527,3155.254,332.042,1
127,514.842,787.424,337.960,1
128,1880.659,3514.879,347.731,1
129,597.169,2379.035,343.884,1
130,526.890,1581.473,345.902,1
131,438.138,1186.502,347.133,1
132,425.688,1364.064,346.623,1
133,2393.895,4856.237,362.109,1
134,1079.482,4150.324,355.742,1
135,689.133,1515.671,354.155,1
136,358.622,486.674,355.871,1
137,823.265,3219.901,360.123,1
138,452.997,2623.466,360.253,1
139,1284.696,4067.146,369.655,1
140,411.231,5678.707,363.752,1
141,1397.543,3094.473,378.554,1
142,541.347,2109.418,375.669,1
143,607.610,2322.053,373.301,1
144,1578.260,5789.894,383.048,1
145,456.210,4023.597,382.868,1
146,1003.581,2500.403,382.469,1
147,462.635,3729.655,381.672,1
148,418.861,2845.871,388.365,1
149,473.076,709.711,392.643,1
150,769.854,3689.317,396.108,1
151,363.040,290.247,397.137,1
152,541.347,2272.622,400.622,1
153,853.385,4333.127,402.023,1
154,662.628,3230.042,403.681,1
155,1898.731,6122.994,417.790,1
156,1360.998,773.353,422.699,1
157,1506.776,6061.732,425.860,1
158,327.298,678.521,415.037,1
159,1272.246,3959.630,425.206,1
160,1069.843,5080.280,429.181,1
161,1986.278,5773.801,437.263,1
162,725.678,2106.924,429.915,1
163,449.382,502.997,429.944,1
164,719.654,2978.988,435.991,1
165,291.155,3339.124,434.302,1
166,2885.043,5628.528,464.156,1
167,367.859,613.473,444.792,1
168,515.645,923.682,449.464,1
169,238.546,1002.251,443.107,1
170,292.761,1039.136,443.919,1
171,724.474,1458.717,450.004,1
172,444.563,1620.032,447.677,1
173,591.145,5698.683,448.669,1
174,3860.111,4408.549,468.903,1
175,1143.737,4322.109,457.759,1
176,980.288,1803.117,456.131,1
177,1352.966,3370.244,466.346,1
178,873.866,3463.935,461.419,1
179,495.566,662.297,461.170,1
180,740.136,3308.823,462.148,1
181,336.133,396.006,460.137,1
182,545.765,2196.636,463.636,1
183,1384.692,5284.737,470.030,1
184,831.699,4586.957,468.859,1
185,445.768,1217.922,468.740,1
186,248.586,2867.310,465.983,1
187,297.580,19.002,467.160,1
188,385.529,5937.136,474.018,1
189,326.093,1936.612,474.138,1
190,253.807,175.256,479.613,1
191,520.464,5236.790,493.295,1
192,1143.335,4065.094,491.802,1
193,489.140,1493.843,488.085,1
194,390.750,610.996,487.493,1
195,430.508,486.709,495.305,1
196,372.277,1122.601,496.262,1
197,411.231,4794.043,500.951,1
198,429.303,239.833,499.304,1
199,1842.910,4275.820,514.963,1
200,472.273,973.981,507.060,1
201,564.640,2783.247,510.406,1
202,656.604,1663.143,516.899,1
203,309.227,370.435,515.266,1
204,894.749,856.253,527.201,1
205,921.254,1557.008,526.999,1
